City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,rotorua,-38.1387,176.2452,17.51,97,100,1.86,NZ,1681843484
138,inonu,37.3167,33.7667,15.8,30,2,8.66,TR,1681843484
139,veraval,20.9,70.3667,27.36,73,0,6.28,IN,1681843484
140,altai,46.3722,96.2583,-5.06,47,100,1.53,MN,1681843484
141,zaozersk,69.4005,32.4476,-0.55,91,100,3.86,RU,1681843484
142,buka,40.8108,69.1986,7.93,52,0,0.48,UZ,1681843485
143,gremda,34.75,10.7833,18.11,63,20,5.66,TN,1681843485
144,afaahiti,-17.75,-149.2833,25.93,76,96,8.23,PF,1681843485
145,azul,-36.777,-59.8585,14.9,43,91,7.5,AR,1681843485
146,andergrove,-21.0833,149.1833,20.36,77,6,5.92,AU,1681843485
147,invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1681843459
148,dunedin,-45.8742,170.5036,11.56,89,12,4.57,NZ,1681843409
149,lakatoro,-16.0999,167.4164,25.76,80,91,2.87,VU,1681843486
150,puerto aysen,-45.4,-72.7,10.32,99,100,2.67,CL,1681843486
151,yuzhno-kurilsk,44.0306,145.8556,2.89,77,100,0.57,RU,1681843377
152,wailua homesteads,22.0669,-159.378,23.44,79,75,7.72,US,1681843486
153,keflavik,64.0049,-22.5624,9.95,100,100,6.69,IS,1681843486
154,celestun,20.8667,-90.4,28.82,50,0,5.76,MX,1681843487
155,college,64.8569,-147.8028,-3.03,62,75,8.23,US,1681843487
156,jakobstad,63.6749,22.7026,1.09,98,99,2.49,FI,1681843487
157,ban phru nai,7.9333,98.5833,27.06,70,22,4.7,TH,1681843487
158,sebdou,34.637,-1.3314,16.61,32,46,3.25,DZ,1681843487
159,yatou,37.15,122.3833,9.08,76,0,2.06,CN,1681843488
160,znamenskoye,57.1281,73.8282,-8.53,79,1,1.31,RU,1681843488
161,lihue,21.9789,-159.3672,23.77,81,75,7.72,US,1681843296
162,marsa alam,25.0757,34.8918,26.98,40,0,2.4,EG,1681843488
163,vallenar,-28.5708,-70.7581,25.99,26,0,3.23,CL,1681843488
164,wenchang,30.904,118.4887,20.01,93,100,1.64,CN,1681843488
165,happy valley-goose bay,53.3168,-60.3315,3.17,65,75,6.69,CA,1681843489
166,campbell river,50.0163,-125.2446,5.33,100,100,0.0,CA,1681843489
167,bel ombre,-4.6167,55.4167,27.91,83,20,1.03,SC,1681843489
168,mogok,22.9167,96.5,22.5,33,0,1.0,MM,1681843489
169,elko,41.0002,-115.5012,2.08,49,58,5.36,US,1681843489
170,mongar,27.2747,91.2396,16.6,59,55,1.72,BT,1681843490
